nombre  ,habitantes  ,historia  ,latitud  ,longitud  ,activo
Comodoro Rivadavia,173266,CR,-45.6083,-67.75,1
Pto. Madryn,107673,PM,-42.7667,-65.05,1
Trelew,99430,TW,-43.24895,-65.30505,1
Esquel,32234,EQ,-43.4486,-70.5722,1
Rawson,31787,RW,-43.3,-65.1,1
Sarmiento,11124,SR,-45.6,-69.0833,1
Rada Tilly,9100,RT,-45.9333,-67.5333,1
Trevelin,7908,TR,-43.0667,-71.4667,1
Gaiman,6627,GM,-43.2833,-65.4833,1
Lago Puelo,6038,PU,-51.394,-70.6055,1
Epuyén,3333,EP,-42.0667,-71.5,1
Dolavon,3307,DL,-43.3917,-66.0333,1
El Hoyo,2947,EH,-42.0667,-71.5,1
Río Mayo,2791,RM,-45.6833,-70.2667,1
Gobernador Costa,2374,GC,-44.0667,-70.5833,1
Cholila,2228,CH,-42.3833,-71.05,1
Alto Río Senguerr,1693,RS,-45.0333,-70.8333,1
Río pico,1299,RP,-44.2167,-71.35,1
Camarones,1296,CA,-44.8,-65.7,1
Paso de Indios,1264,PI,-43.8667,-69.1,1
Tecka,1237,TK,-43.4833,-70.8,1
Gan Gan,661,GG,-42.6643,-66.1881,1
Gastre,602,GA,-42.2633,-69.2213,1
Puerto Piramides,565,PP,-42.5667,-64.2833,1
Las Plumas,480,PL,-43.7167,-67.25,1
Los Altares,230,LA,-43.875,-69.125,1
Lago Blanco,194,LB,-45.9167,-71.25,1
Garayalde,18,GA,-44.6667,-66.6667,1
Uzcudun,0,UZ,-44.2167,-66.15,1
