nombre ,distancia ,peso_camino ,activo ,tipo_camino_id ,estado_camino_id ,trafico_id ,ciudad_inicial_id ,ciudad_final_id ,,,,,,,,
Ruta 11,332,1,1,1,2,2,22,23,* 25 y 11,332.0,,,,CR,1,Comodoro Rivadavia
Ruta 26 y 40,251,1,1,2,2,2,6,15,* 26 y 40,251.0,,,,PM,2,Pto. Madryn
Ruta 260,194,1,1,2,4,2,14,27,* 40 y 260/55,104.0,,,,TW,3,Trelew
Ruta 3,177,1,1,2,2,4,28,1,,177.0,,,-,EQ,4,Esquel
Ruta 25,170,1,1,2,2,2,9,25,,170.0,,,,RW,5,Rawson
Ruta 25,164,1,1,2,2,2,20,21,,164.0,,,-,SR,6,Sarmiento
Ruta 3,156,1,1,2,2,2,3,24,* 3 y 2,156.0,,,,RT,7,Rada Tilly
Ruta 26,149,1,1,2,2,4,1,6,,149.0,,,,TR,8,Trevelin
Ruta 3,138,1,1,2,2,4,3,29,,138.0,,,,GM,9,Gaiman
Ruta 40,126,1,1,2,2,1,6,14,* 26 y 40,126.0,,,,PU,10,Lago Puelo
Ruta 40,124,1,1,2,2,1,4,11,,124.0,,,,EP,11,Epuyén
Ruta 25,103,1,1,2,5,2,10,26,,103.0,,,,DL,12,Dolavon
Ruta 40,96,1,1,1,2,2,21,4,,95.7,,,,EH,13,El Hoyo
Camino,95,1,1,1,2,2,6,17,,94.4,,,,RM,14,Río Mayo
Ruta 2,94,1,1,2,2,3,2,24,,93.6,,,,GC,15,Gobernador Costa
Ruta 40,74,1,1,1,2,2,15,21,,83.8,,,,CH,16,Cholila
Ruta 30,73,1,1,2,2,2,29,19,,73.0,,,-,RS,17,Alto Río Senguerr
Ruta 1,63,1,1,1,2,1,2,5,,63.3,,,,RP,18,Río pico
Ruta 3,62,1,1,2,2,4,2,3,,62.5,,,,CA,19,Camarones
Ruta 3,60,1,1,2,2,4,29,28,,59.7,,,,PI,20,Paso de Indios
Ruta 25,57,1,1,2,2,2,26,20,,57.3,,,-,TK,21,Tecka
Ruta 40,39,1,1,2,2,2,11,10,* 40 y camino,39.0,,,,GG,22,Gan Gan
Ruta 71,38,1,1,2,2,2,4,16,,38.2,,,,GA,23,Gastre
Ruta 259,26,1,1,2,2,2,4,8,,26.4,,,-,PP,24,Puerto Piramides
Ruta 25,22,1,1,2,2,4,3,5,,21.7,,,,PL,25,Las Plumas
Ruta 25,20,1,1,2,2,2,9,12,,20.5,,,,LA,26,Los Altares
Ruta 3,18,1,1,2,2,2,28,19,,17.6,,,,LB,27,Lago Blanco
Ruta 25,17,1,1,2,2,2,3,9,,17.1,,,,GY,28,Garayalde
Camino al desemboque,14,1,1,1,2,2,10,13,,14.1,,,,UZ,29,Uzcudun
Ruta 3,13,1,1,2,2,2,1,7,,12.6,,,,,,
